code,name,quantity,purchase_price,purchase_date,sector,risk_level,expected_return,notes
7203.T,トヨタ自動車,100,2500,2024-06-01,自動車,低,中,安定成長・配当重視・EV戦略
6758.T,ソニーグループ,50,12000,2024-06-01,電機,中,高,成長株・技術革新・エンターテイメント
9984.T,ソフトバンクグループ,200,6000,2024-06-01,通信,高,高,ハイリスク・ハイリターン・投資会社
6861.T,キーエンス,10,50000,2024-06-01,電機,中,高,高品質成長・高収益・ファクトリーオートメーション
7974.T,任天堂,30,8000,2024-06-01,ゲーム,低,中,安定収益・ブランド力・IP価値
6752.T,パナソニック,100,1200,2024-06-01,電機,中,中,バリュー株・配当・家電・電池
8306.T,三菱UFJフィナンシャル・グループ,500,800,2024-06-01,銀行,低,低,金融・配当重視・安定性
9433.T,KDDI,100,4000,2024-06-01,通信,低,中,安定収益・インフラ・配当
4503.T,アステラス製薬,50,1500,2024-06-01,医薬品,中,高,成長・研究開発・バイオテック
6367.T,ダイキン工業,30,2000,2024-06-01,電機,中,中,環境配慮・グローバル・空調機器


