code,name,quantity,purchase_price,purchase_date,sector,description
7203.T,トヨタ自動車,100,2500,2024-06-01,自動車,安定成長・配当重視
6758.T,ソニーグループ,50,12000,2024-06-01,電機,成長株・技術革新
9984.T,ソフトバンクグループ,200,6000,2024-06-01,通信,ハイリスク・ハイリターン
6861.T,キーエンス,10,50000,2024-06-01,電機,高品質成長・高収益
7974.T,任天堂,30,8000,2024-06-01,ゲーム,安定収益・ブランド力
6752.T,パナソニック,100,1200,2024-06-01,電機,バリュー株・配当
8306.T,三菱UFJフィナンシャル・グループ,500,800,2024-06-01,銀行,金融・配当重視
9433.T,KDDI,100,4000,2024-06-01,通信,安定収益・インフラ
4503.T,アステラス製薬,50,1500,2024-06-01,医薬品,成長・研究開発
6367.T,ダイキン工業,30,2000,2024-06-01,電機,環境配慮・グローバル


